chi_full(39),chi_nircam(30),chi_miri(9),chi_miri_wo_shadow(7),chi_full_wo_shadow(37),nircam_offset,run
36.989979,27.54975,9.440235,4.108776,31.658532,79,blackbody_0.17.dat
36.968373,27.45483,9.513513,4.744292,32.199139,76,blackbody_0.16.dat
37.465701,27.72513,9.740547,3.830946,31.556079,82,blackbody_0.18.dat
37.330254,27.31845,10.011816,5.785913,33.104344,74,blackbody_0.15.dat
38.206935,27.83571,10.371231,3.870055,31.705744,84,blackbody_0.19.dat
38.209197,27.21213,10.997037,7.291823,34.50398,71,blackbody_0.14.dat
39.29484,27.99918,11.295675,4.191572,32.19074,86,blackbody_0.2.dat
40.673997,28.19142,12.482595,4.765922,32.957343,88,blackbody_0.21.dat
39.677781,27.13332,12.544461,9.332729,36.466053,68,blackbody_0.13.dat
42.243045,28.33797,13.905072,5.567646,33.905616,91,blackbody_0.22.dat
41.82204,27.07515,14.746887,11.995648,39.070779,65,blackbody_0.12.dat
44.041998,28.50222,15.539787,6.574659,35.076888,93,blackbody_0.23.dat
46.044492,28.67805,17.366409,7.767697,36.445777,95,blackbody_0.24.dat
44.769894,27.04941,17.720478,15.38936,42.438778,62,blackbody_0.11.dat
48.228141,28.86099,19.367145,9.129869,37.99086,97,blackbody_0.25.dat
50.575941,29.04963,21.526299,10.646258,39.695894,99,blackbody_0.26.dat
48.69033,27.07716,21.613176,19.652206,46.729372,58,blackbody_0.1.dat
53.0751,29.24508,23.830002,12.303683,41.548743,101,blackbody_0.27.dat
55.716336,29.4504,26.265942,14.090398,43.540823,103,blackbody_0.28.dat
58.483659,29.66055,28.823103,15.995931,45.656483,104,blackbody_0.29.dat
61.325862,29.83419,31.491657,18.010881,47.84507,106,blackbody_0.3.dat
64.28643,30.02367,34.262766,20.126813,50.150503,108,blackbody_0.31.dat
67.366065,30.23763,37.128447,22.336097,52.573707,110,blackbody_0.32.dat
70.535595,30.45408,40.0815,24.631838,55.085896,111,blackbody_0.33.dat
73.748844,30.63342,43.115409,27.007785,57.641227,113,blackbody_0.34.dat
77.080887,30.85665,46.224234,29.45824,60.314884,115,blackbody_0.35.dat
80.457858,31.05531,49.402566,31.978023,63.033311,116,blackbody_0.36.dat
83.904405,31.25895,52.645473,34.562381,65.821335,118,blackbody_0.37.dat
87.427704,31.47927,55.948446,37.206967,68.686245,119,blackbody_0.38.dat
90.981735,31.67439,59.307336,39.907791,71.582161,121,blackbody_0.39.dat
94.614234,31.89588,62.718336,42.661178,74.557072,122,blackbody_0.4.dat
98.276022,32.09808,66.177945,45.463754,77.561805,124,blackbody_0.41.dat
101.989719,32.30676,69.682932,48.31239,80.619152,125,blackbody_0.42.dat
105.765114,32.53482,73.230309,51.204202,83.739029,127,blackbody_0.43.dat
109.539183,32.72187,76.817322,54.136516,86.858388,128,blackbody_0.44.dat
113.395503,32.9541,80.441415,57.10684,90.060923,129,blackbody_0.45.dat
117.257673,33.15747,84.100203,60.112878,93.27034,131,blackbody_0.46.dat
121.147299,33.3558,87.79149,63.152488,96.508284,132,blackbody_0.47.dat
125.099169,33.58596,91.51326,66.223661,99.809609,133,blackbody_0.48.dat
129.062739,33.79929,95.26347,69.324542,103.12381,135,blackbody_0.49.dat
133.031457,33.99096,99.0405,72.45336,106.444375,136,blackbody_0.5.dat
137.047794,34.20522,102.84255,75.60861,109.813817,137,blackbody_0.51.dat
141.106134,34.43796,106.66818,78.78857,113.226549,138,blackbody_0.52.dat
145.160886,34.64502,110.51586,81.99198,116.637024,140,blackbody_0.53.dat
149.222424,34.83819,114.38424,85.21744,120.055602,141,blackbody_0.54.dat
153.316761,35.04471,118.27206,88.46369,123.508405,142,blackbody_0.55.dat
157.439919,35.26188,122.17806,91.72954,126.991437,143,blackbody_0.56.dat
161.588388,35.48724,126.10116,95.01394,130.501146,144,blackbody_0.57.dat
165.75156,35.71125,130.04028,98.31577,134.026987,146,blackbody_0.58.dat
169.89765,35.90316,133.99452,101.63405,137.537214,147,blackbody_0.59.dat
174.064449,36.10167,137.9628,104.96794,141.069567,148,blackbody_0.6.dat
178.249461,36.30519,141.94422,108.31646,144.621604,149,blackbody_0.61.dat
182.450463,36.51237,145.93815,111.67884,148.191179,150,blackbody_0.62.dat
186.665583,36.72204,149.94351,115.05424,151.776294,151,blackbody_0.63.dat
190.893027,36.93321,153.95985,118.44203,155.37521,152,blackbody_0.64.dat
195.131274,37.14507,157.98627,121.84137,158.986447,153,blackbody_0.65.dat
199.378998,37.3569,162.02214,125.2517,162.608599,154,blackbody_0.66.dat
203.63499,37.56816,166.06683,128.67239,166.240519,155,blackbody_0.67.dat
