chi_full(30),chi_nircam(21),chi_miri(9),chi_miri_wo_shadow(7),chi_full_wo_shadow(28),nircam_offset,run
39.27078,29.830563,9.440235,4.108776,33.939332,79,blackbody_0.17.dat
38.7831,29.269569,9.513513,4.744292,34.013868,76,blackbody_0.16.dat
40.14642,30.405879,9.740547,3.830946,34.236804,81,blackbody_0.18.dat
38.69817,28.686357,10.011816,5.785913,34.472256,74,blackbody_0.15.dat
41.31027,30.939027,10.371231,3.870055,34.809096,84,blackbody_0.19.dat
39.06951,28.072464,10.997037,7.291823,35.36428,71,blackbody_0.14.dat
42.76641,31.470747,11.295675,4.191572,35.662312,86,blackbody_0.2.dat
44.49216,32.009544,12.482595,4.765922,36.77548,88,blackbody_0.21.dat
39.99642,27.451977,12.544461,9.332729,36.784692,68,blackbody_0.13.dat
46.43253,32.527467,13.905072,5.567646,38.09512,91,blackbody_0.22.dat
41.56338,26.816496,14.746887,11.995648,38.812144,65,blackbody_0.12.dat
48.56037,33.020589,15.539787,6.574659,39.595248,93,blackbody_0.23.dat
50.87751,33.511086,17.366409,7.767697,41.278804,95,blackbody_0.24.dat
43.89096,26.170473,17.720478,15.38936,41.55984,62,blackbody_0.11.dat
53.36361,33.996459,19.367145,9.129869,43.126328,97,blackbody_0.25.dat
56.00262,34.476309,21.526299,10.646258,45.12256,99,blackbody_0.26.dat
47.10327,25.490073,21.613176,19.652206,45.1423,58,blackbody_0.1.dat
58.78206,34.952064,23.830002,12.303683,47.25574,101,blackbody_0.27.dat
61.69245,35.426496,26.265942,14.090398,49.516908,103,blackbody_0.28.dat
64.69725,35.874132,28.823103,15.995931,51.870056,104,blackbody_0.29.dat
67.80186,36.310197,31.491657,18.010881,54.321064,106,blackbody_0.3.dat
71.01336,36.750609,34.262766,20.126813,56.877408,108,blackbody_0.31.dat
74.33049,37.202025,37.128447,22.336097,59.538136,110,blackbody_0.32.dat
77.70945,37.627947,40.0815,24.631838,62.259792,111,blackbody_0.33.dat
81.15723,38.041815,43.115409,27.007785,65.0496,113,blackbody_0.34.dat
84.70602,38.481786,46.224234,29.45824,67.94004,115,blackbody_0.35.dat
88.28088,38.878308,49.402566,31.978023,70.856324,116,blackbody_0.36.dat
91.93875,39.293289,52.645473,34.562381,73.855656,118,blackbody_0.37.dat
95.64444,39.695985,55.948446,37.206967,76.902952,119,blackbody_0.38.dat
99.4023,40.094964,59.307336,39.907791,80.002748,121,blackbody_0.39.dat
103.20804,40.489722,62.718336,42.661178,83.1509,122,blackbody_0.4.dat
107.06277,40.884816,66.177945,45.463754,86.348584,124,blackbody_0.41.dat
110.94504,41.262102,69.682932,48.31239,89.574492,125,blackbody_0.42.dat
114.89805,41.667759,73.230309,51.204202,92.87194,127,blackbody_0.43.dat
118.83906,42.021714,76.817322,54.136516,96.158244,128,blackbody_0.44.dat
122.84667,42.405258,80.441415,57.10684,99.512084,129,blackbody_0.45.dat
126.88182,42.78162,84.100203,60.112878,102.894484,131,blackbody_0.46.dat
130.92519,43.133685,87.79149,63.152488,106.28618,132,blackbody_0.47.dat
135.01911,43.50591,91.51326,66.223661,109.729564,133,blackbody_0.48.dat
139.14285,43.879374,95.26347,69.324542,113.203916,135,blackbody_0.49.dat
143.25795,44.217474,99.0405,72.45336,116.670876,136,blackbody_0.5.dat
147.41181,44.569245,102.84255,75.60861,120.177848,137,blackbody_0.51.dat
151.60002,44.931831,106.66818,78.78857,123.720436,138,blackbody_0.52.dat
155.80458,45.288726,110.51586,81.99198,127.28072,140,blackbody_0.53.dat
160.00134,45.617103,114.38424,85.21744,130.834536,141,blackbody_0.54.dat
164.2248,45.952767,118.27206,88.46369,134.416464,142,blackbody_0.55.dat
168.4719,46.293828,122.17806,91.72954,138.023396,143,blackbody_0.56.dat
172.73973,46.638564,126.10116,95.01394,141.652476,144,blackbody_0.57.dat
177.0258,46.985463,130.04028,98.31577,145.301212,145,blackbody_0.58.dat
181.30497,47.310459,133.99452,101.63405,148.944516,147,blackbody_0.59.dat
185.59164,47.628861,137.9628,104.96794,152.59678,148,blackbody_0.6.dat
189.89313,47.94888,141.94422,108.31646,156.265312,149,blackbody_0.61.dat
194.20767,48.26955,145.93815,111.67884,159.948348,150,blackbody_0.62.dat
198.53364,48.590073,149.94351,115.05424,163.64432,151,blackbody_0.63.dat
202.86963,48.909798,153.95985,118.44203,167.3518,152,blackbody_0.64.dat
207.21438,49.228158,157.98627,121.84137,171.069528,153,blackbody_0.65.dat
211.56681,49.544691,162.02214,125.2517,174.796412,154,blackbody_0.66.dat
215.92587,49.85904,166.06683,128.67239,178.531416,155,blackbody_0.67.dat
220.29072,50.170953,170.1198,132.10274,182.273728,156,blackbody_0.68.dat
224.66064,50.480241,174.18042,135.54233,186.022592,157,blackbody_0.69.dat
229.03497,50.78682,178.24815,138.99053,189.777364,158,blackbody_0.7.dat
233.4132,51.090627,182.32254,142.44685,193.537484,159,blackbody_0.71.dat
237.79482,51.391704,186.40314,145.9108,197.302532,160,blackbody_0.72.dat
242.17953,51.690177,190.48932,149.38196,201.072144,161,blackbody_0.73.dat
246.56706,51.986193,194.5809,152.85984,204.84604,162,blackbody_0.74.dat
250.95714,52.27992,198.67725,156.34409,208.623996,163,blackbody_0.75.dat
255.34968,52.571652,202.77801,159.83422,212.405844,164,blackbody_0.76.dat
259.74459,52.861683,206.88291,163.32988,216.191556,165,blackbody_0.77.dat
264.14184,53.15037,210.9915,166.83072,219.981104,166,blackbody_0.78.dat
268.54152,53.438049,215.10351,170.33646,223.774516,167,blackbody_0.79.dat
272.94369,53.725182,219.21849,173.84668,227.571876,168,blackbody_0.8.dat
277.34853,54.012189,223.33635,177.36117,231.373324,169,blackbody_0.81.dat
281.75616,54.299553,227.45664,180.87951,235.179056,170,blackbody_0.82.dat
286.16688,54.587799,231.57909,184.40142,238.989268,171,blackbody_0.83.dat
290.58093,54.877452,235.70343,187.92676,242.80424,172,blackbody_0.84.dat
294.99066,55.161141,239.82948,191.45518,246.6163,172,blackbody_0.85.dat
299.38431,55.427316,243.95697,194.9864,250.413744,173,blackbody_0.86.dat
303.7806,55.695024,248.08563,198.52028,254.215304,174,blackbody_0.87.dat
308.1801,55.964916,252.21537,202.05654,258.021428,175,blackbody_0.88.dat
312.5835,56.237643,256.34574,205.5949,261.832536,176,blackbody_0.89.dat
316.9905,56.513877,260.47674,209.13522,265.649104,177,blackbody_0.9.dat
321.4023,56.794311,264.6081,212.67729,269.471636,178,blackbody_0.91.dat
325.8138,57.07422,268.73964,216.22097,273.295176,178,blackbody_0.92.dat
330.1977,57.326493,272.87127,219.76598,277.092508,179,blackbody_0.93.dat
334.5864,57.583722,277.00263,223.31225,280.896,180,blackbody_0.94.dat
339.0858,57.952104,281.13372,226.8595,284.81152,180,blackbody_0.95.dat
343.737,58.472442,285.26445,230.40766,288.8802,180,blackbody_0.96.dat
348.5358,59.14146,289.39446,233.95652,293.09784,180,blackbody_0.97.dat
353.4798,59.955966,293.52375,237.50594,297.46192,180,blackbody_0.98.dat
358.5651,60.912873,297.65214,241.05578,301.9688,180,blackbody_0.99.dat
363.7887,62.009178,301.77954,244.60597,306.61512,180,blackbody_1.0.dat
