chi_full(39),chi_nircam(30),chi_miri(9),chi_miri_wo_shadow(7),chi_full_wo_shadow(37),nircam_offset,run
48.309651,26.69649,21.613176,19.652206,46.348679,56,blackbody_0.1.dat
44.863689,27.14319,17.720478,15.38936,42.532573,59,blackbody_0.11.dat
42.337542,27.59067,14.746887,11.995648,39.5863,62,blackbody_0.12.dat
40.567488,28.02306,12.544461,9.332729,37.355792,65,blackbody_0.13.dat
39.43446,28.43742,10.997037,7.291823,35.729235,68,blackbody_0.14.dat
38.851332,28.83951,10.011816,5.785913,34.625414,71,blackbody_0.15.dat
38.754534,29.24103,9.513513,4.744292,33.985314,74,blackbody_0.16.dat
39.079326,29.6391,9.440235,4.108776,33.747885,76,blackbody_0.17.dat
39.751374,30.0108,9.740547,3.830946,33.841754,79,blackbody_0.18.dat
40.761747,30.39054,10.371231,3.870055,34.260594,81,blackbody_0.19.dat
42.057171,30.76149,11.295675,4.191572,34.953086,84,blackbody_0.2.dat
43.594239,31.11162,12.482595,4.765922,35.877531,86,blackbody_0.21.dat
45.369909,31.46484,13.905072,5.567646,37.032486,88,blackbody_0.22.dat
47.355243,31.81548,15.539787,6.574659,38.390127,90,blackbody_0.23.dat
49.52649,32.16009,17.366409,7.767697,39.927773,92,blackbody_0.24.dat
51.864228,32.49708,19.367145,9.129869,41.626961,94,blackbody_0.25.dat
54.352584,32.82627,21.526299,10.646258,43.472558,96,blackbody_0.26.dat
56.978727,33.14871,23.830002,12.303683,45.452391,98,blackbody_0.27.dat
59.732244,33.46632,26.265942,14.090398,47.556729,100,blackbody_0.28.dat
62.604984,33.78189,28.823103,15.995931,49.777802,102,blackbody_0.29.dat
65.590395,34.09875,31.491657,18.010881,52.109616,104,blackbody_0.3.dat
68.681964,34.41918,34.262766,20.126813,54.545992,105,blackbody_0.31.dat
71.83566,34.70721,37.128447,22.336097,57.043307,107,blackbody_0.32.dat
75.085374,35.00388,40.0815,24.631838,59.635712,109,blackbody_0.33.dat
78.42978,35.31435,43.115409,27.007785,62.322134,111,blackbody_0.34.dat
81.817086,35.59287,46.224234,29.45824,65.051106,112,blackbody_0.35.dat
85.285824,35.88324,49.402566,31.978023,67.861293,114,blackbody_0.36.dat
88.817898,36.17241,52.645473,34.562381,70.734787,115,blackbody_0.37.dat
92.395641,36.44721,55.948446,37.206967,73.654161,117,blackbody_0.38.dat
96.042609,36.73527,59.307336,39.907791,76.643058,118,blackbody_0.39.dat
99.71988,37.00152,62.718336,42.661178,79.662702,120,blackbody_0.4.dat
103.45842,37.28046,66.177945,45.463754,82.74421,121,blackbody_0.41.dat
107.229993,37.54704,69.682932,48.31239,85.859462,123,blackbody_0.42.dat
111.041892,37.81155,73.230309,51.204202,89.015784,124,blackbody_0.43.dat
114.906012,38.08872,76.817322,54.136516,92.225238,126,blackbody_0.44.dat
