chi_full(39),chi_nircam(30),chi_miri(9),chi_miri_wo_shadow(7),chi_full_wo_shadow(37),nircam_offset,run
65.45331,44.13351,21.319794,19.228321,63.361834,47,0
67.572375,43.20885,24.363513,22.694574,65.903438,50,1
68.601936,43.01004,25.591878,24.008271,67.018322,60,2
64.614303,47.93682,16.677459,8.062775,55.999611,71,3
56.781933,29.83752,26.944434,14.593278,44.430784,109,4
73.264386,46.46916,26.795232,14.909349,61.378523,84,5
70.064709,47.14983,22.914873,12.356267,59.506101,81,6
72.531459,42.4941,30.037374,17.714599,60.208694,85,7
68.947632,42.42924,26.518401,15.201781,57.631015,83,8
70.512702,37.44801,33.064686,20.131272,57.579289,86,9
66.239394,36.92415,29.315259,17.36315,54.287288,83,10
71.47608,39.19371,32.282361,19.490968,58.684701,86,11
68.675061,38.81487,29.860191,17.737342,56.552206,84,12
68.036085,39.11604,28.920033,17.002356,56.118381,84,13
67.185417,38.88384,28.301562,16.593318,55.477171,83,14
74.031048,45.40113,28.629918,15.495081,60.896228,85,15
80.774655,43.68354,37.091106,22.296813,65.980361,90,16
82.285788,41.79462,40.491171,25.190326,66.984948,91,17
89.056539,40.38483,48.671703,31.789842,72.174679,94,18
87.299082,39.39228,47.906793,31.43231,70.824586,93,19
88.213944,38.5953,49.618665,32.920559,71.515857,93,20
87.1338,40.33671,46.797093,30.67421,71.010918,93,21
86.595561,39.76557,46.830006,30.855384,70.620938,93,22
85.572825,40.21962,45.353223,29.558494,69.778115,92,23
85.336485,39.67356,45.662931,29.978053,69.651612,92,24
118.682811,53.34867,65.33415,63.129374,116.478035,4,25
97.486077,48.62241,48.863673,46.792753,95.415193,13,26
84.70839,51.22032,33.488082,31.410575,82.630879,23,27
72.451353,47.54508,24.906249,22.813007,70.35809,38,28
117.475215,53.51418,63.961047,61.803994,115.318159,5,29
97.35999,49.24578,48.114189,46.16535,95.41116,14,30
86.255169,51.76983,34.485345,32.744327,84.514179,24,31
74.553063,47.60034,26.952714,25.274627,72.874978,41,32
106.848573,54.64482,52.203726,50.25552,104.900328,10,33
92.198925,52.28907,39.909861,38.139409,90.428481,20,34
83.553093,53.66088,29.892222,28.275618,81.9365,35,35
72.163533,46.73934,25.42419,23.804417,70.543756,54,36
71.318403,61.48683,9.831573,3.646139,65.13295,41,37
74.527635,30.97218,43.555473,30.606926,61.5791,100,38
63.06417,39.24732,23.816862,12.884816,52.132112,84,39
69.869709,53.72937,16.140348,7.526967,61.256312,69,40
68.429517,38.34774,30.081744,17.592211,55.939967,90,41
124.639476,36.89895,87.740541,75.47253,112.371479,134,42
80.110602,34.75587,45.354744,33.007786,67.76365,131,43
61.906806,31.09374,30.813075,18.44115,49.534897,120,44
70.676229,44.38722,26.289018,14.523537,58.910734,83,45
66.906645,44.7327,22.173948,11.789806,56.522495,79,46
71.182917,44.83173,26.351181,14.559195,59.39092,83,47
67.415283,45.26076,22.154526,11.730145,56.990915,79,48
72.428733,45.81114,26.617617,14.772303,60.58343,84,49
68.863119,46.42359,22.439529,11.940915,58.364503,81,50
73.081866,46.36902,26.712855,14.844921,61.213947,84,51
74.573382,30.95667,43.616736,30.665194,61.621872,100,52
72.209865,42.73389,29.47599,17.193365,59.927272,84,53
68.609658,42.74094,25.868736,14.61474,57.355661,80,54
72.011823,42.66204,29.349792,17.056144,59.718185,84,55
68.366883,42.63531,25.73154,14.460845,57.09618,81,56
72.041775,42.56415,29.477646,17.168669,59.7328,85,57
68.37129,42.50226,25.869006,14.573993,57.076274,82,58
72.035184,42.50238,29.532789,17.218019,59.720405,85,59
124.640724,36.90009,87.740631,75.4726,112.3727,134,60
70.699161,38.19987,32.499315,19.571741,57.771615,85,61
66.519258,37.77387,28.745379,16.804011,54.577886,82,62
70.51941,37.96857,32.55084,19.621259,57.589834,85,63
66.328041,37.52727,28.800783,16.856945,54.384191,82,64
70.369572,37.63371,32.735871,19.804323,57.438023,85,65
66.118572,37.12995,28.988613,17.041626,54.171552,83,66
70.285839,37.46967,32.816169,19.8842,57.353885,86,67
68.874702,46.42656,22.448124,11.94732,58.373901,81,68
71.18319,39.19629,31.986891,19.19484,58.391143,86,69
68.385291,38.81526,29.570013,17.4475,56.262755,84,70
71.202261,39.18669,32.015538,19.22354,58.410235,86,71
68.399526,38.80617,29.593368,17.471608,56.277777,84,72
71.302881,39.18495,32.117958,19.326321,58.511245,86,73
68.495622,38.80455,29.691045,17.570133,56.37468,84,74
71.3661,39.18765,32.178447,19.387032,58.5747,86,75
68.477448,42.52896,25.948476,14.630644,57.159598,82,76
67.73715,39.11217,28.624968,16.707621,55.819791,84,77
66.897753,38.88009,28.017639,16.309797,55.189903,83,78
67.769676,39.11337,28.656324,16.740283,55.853646,84,79
66.924468,38.88093,28.043532,16.337125,55.21806,83,80
67.871934,39.11499,28.756944,16.842462,55.957431,83,81
67.022943,38.88222,28.140723,16.435958,55.318182,83,82
67.931682,39.11544,28.816236,16.901948,56.017408,83,83
67.081209,38.88261,28.198629,16.494233,55.376827,83,84
73.954257,45.31227,28.641996,15.510446,60.822709,85,85
80.751255,43.64463,37.10664,22.311709,65.956348,90,86
74.000628,45.34668,28.653957,15.521933,60.868626,85,87
80.764242,43.66179,37.102455,22.307733,65.96952,90,88
74.064549,45.39378,28.670787,15.5365,60.930268,85,89
80.772159,43.67931,37.092834,22.298871,65.978178,90,90
74.074806,45.40248,28.672326,15.537564,60.940036,85,91
80.774655,43.68363,37.091025,22.297023,65.980657,90,92
82.331886,41.82534,40.506552,25.202401,67.027757,91,93
89.127558,40.45047,48.677076,31.79372,72.244202,94,94
82.300452,41.81457,40.485888,25.182808,66.99738,91,95
89.068941,40.42503,48.643911,31.760757,72.185779,94,96
82.256694,41.79504,40.46166,25.160387,66.955422,91,97
88.989966,40.38327,48.606696,31.724637,72.107931,94,98
82.251975,41.79447,40.457511,25.156418,66.950908,91,99
88.984194,40.38468,48.599523,31.717539,72.102233,94,100
87.318153,39.42174,47.896407,31.42125,70.843012,93,101
88.232157,38.62533,49.60683,32.908106,71.533432,93,102
87.279621,39.40848,47.871144,31.396169,70.804643,93,103
88.188438,38.61126,49.577193,32.878496,71.489772,93,104
87.262929,39.39363,47.869299,31.39479,70.7884,93,105
88.171707,38.59683,49.574907,32.87669,71.473492,93,106
87.264684,39.39225,47.872431,31.397856,70.790102,93,107
