chi_full(39),chi_nircam(30),chi_miri(9),chi_miri_wo_shadow(7),chi_full_wo_shadow(37),nircam_offset,run
141.035232,94.37772,43.129764,39.236029,131.662872,79,0
135.244278,75.01914,52.971417,48.438033,122.116206,79,1
107.066817,38.6847,57.463497,52.532746,92.081345,79,2
38.727741,32.17023,7.152417,3.507714,37.656713,79,3
239.968599,245.32962,9.823554,3.694831,238.92195,79,4
51.123774,40.09068,11.22426,5.493096,49.377018,79,5
38.223471,28.83663,9.245331,4.810694,36.423096,79,6
54.240459,44.10654,10.729701,5.135221,52.938268,79,7
43.446429,35.24685,8.656191,4.044789,42.370402,79,8
65.016744,54.56313,11.59119,5.529762,64.139352,79,9
53.134224,44.90661,9.236151,4.178244,52.585288,79,10
73.922667,62.29218,12.987657,6.298355,72.982537,79,11
66.624714,56.12154,11.721132,5.542152,65.923529,79,12
63.203478,53.25627,11.106765,5.115901,62.621057,79,13
62.024157,52.28502,10.882665,5.048274,61.486711,79,14
64.641603,55.51395,10.575045,3.836497,64.318173,79,15
82.160052,69.43098,14.286798,6.651358,81.134784,79,16
85.285902,71.28945,15.417675,7.687904,83.861425,79,17
134.889924,109.72473,26.656029,16.883545,130.042087,79,18
118.309425,97.05465,22.766643,13.505436,115.023898,79,19
125.900658,101.8377,25.310718,15.71682,121.647268,79,20
118.330134,98.46039,21.729051,12.681081,115.461053,79,21
115.019775,95.12226,21.558897,12.751452,111.940133,79,22
111.414849,92.67999,20.478924,11.760308,108.766125,79,23
107.913468,89.34003,20.15586,11.729011,105.110007,79,24
642.74496,590.0877,76.574376,69.599663,633.81703,79,25
491.05095,437.9799,68.133285,62.066039,479.37126,79,26
382.258578,333.4758,58.640427,53.520544,368.858624,79,27
218.601747,168.32874,50.316399,45.900134,206.09111,79,28
638.41596,572.7969,86.046147,78.44319,623.08222,79,29
487.44501,424.1805,75.570138,68.988269,471.51135,79,30
366.859584,306.9636,66.086955,60.455157,350.355146,79,31
200.891145,140.56251,56.836359,51.992059,186.47223,79,32
549.09465,480.7542,82.933839,75.74791,530.16893,79,33
423.93078,358.8006,73.305144,66.994011,405.70167,79,34
254.787429,190.58868,62.848332,57.467879,238.211291,79,35
125.982168,60.97884,56.020707,51.205112,111.554741,79,36
288.026388,285.52044,18.496386,14.921599,285.642775,79,37
103.874277,92.75655,14.331051,8.525944,101.52948,79,38
42.174444,34.52958,8.166789,3.294221,41.380911,79,39
39.791154,31.19511,8.742681,4.716558,38.752431,79,40
93.9393,86.1018,11.297727,4.994675,93.435767,79,41
834.95256,837.5724,46.205307,37.723231,831.63346,79,42
724.22805,755.1546,18.587475,11.891103,721.32536,79,43
498.86655,522.3195,11.190888,4.965709,496.82379,79,44
47.151819,36.11064,11.001204,5.438993,45.36792,79,45
34.500336,25.19211,8.971578,4.794643,32.680916,79,46
47.416668,36.5247,10.904562,5.312034,45.649564,79,47
34.452951,25.28679,8.862291,4.634294,32.648134,79,48
48.83775,37.9812,10.959957,5.294492,47.093933,79,49
35.501037,26.34753,8.913267,4.575571,33.712698,79,50
50.380707,39.57933,11.007612,5.302927,48.640903,79,51
347.959755,313.5642,45.871173,33.747021,338.086168,79,52
46.53792,36.09465,10.517319,4.99968,45.239086,79,53
36.162243,27.71142,8.424396,3.920112,35.095018,79,54
47.954439,37.66359,10.484757,4.951961,46.661958,79,55
37.296597,28.93878,8.420094,3.891797,36.234951,79,56
51.341589,41.24601,10.533717,4.969986,50.051491,79,57
40.414764,32.2125,8.483319,3.910291,39.353422,79,58
53.489982,43.51773,10.565127,4.986373,52.195012,79,59
1060.70055,1049.0229,69.952446,56.701337,1054.64282,79,60
58.309524,47.66211,11.349576,5.319048,57.453008,79,61
45.470139,36.99471,8.979831,3.967677,44.945343,79,62
60.262293,49.70823,11.392227,5.35367,59.40165,79,63
47.571771,39.17418,9.042741,4.017475,47.042318,79,64
63.368214,52.93224,11.482857,5.431608,62.498994,79,65
51.128961,42.86568,9.147204,4.102875,50.589471,79,66
64.705875,54.32805,11.5164,5.460966,63.832215,79,67
124.827729,99.58887,26.130753,17.038133,118.614526,79,68
73.557471,62.08194,12.850353,6.169044,72.61879,79,69
66.207414,55.85124,11.586798,5.4159,65.50813,79,70
73.6749,62.17014,12.879054,6.195588,72.735747,79,71
66.333735,55.94415,11.619144,5.446581,65.634374,79,72
73.804146,62.24691,12.925872,6.239709,72.864914,79,73
66.484197,56.03979,11.668923,5.493754,65.784668,79,74
73.864908,62.27832,12.951369,6.263719,72.925594,79,75
140.186943,114.93105,27.029619,17.305162,135.058325,79,76
63.077547,53.28855,10.980846,4.998245,62.494998,79,77
61.906416,52.32276,10.759284,4.932774,61.368792,79,78
63.103248,53.26818,11.016864,5.032279,62.521342,79,79
61.930245,52.29666,10.798092,4.969818,61.393397,79,80
63.135891,53.23806,11.065842,5.07871,62.554827,79,81
61.966281,52.26663,10.849725,5.018762,61.430175,79,82
63.151413,53.22591,11.087487,5.099262,62.570663,79,83
61.977162,52.25037,10.870704,5.03888,61.441423,79,84
64.953174,55.87716,10.554318,3.827334,64.635115,79,85
82.184778,69.41403,14.319495,6.687331,81.142776,79,86
64.817922,55.73142,10.554363,3.824506,64.498696,79,87
82.148157,69.39699,14.302692,6.67016,81.111548,79,88
64.658568,55.55502,10.557963,3.823519,64.337006,79,89
82.13634,69.40875,14.284332,6.650511,81.107774,79,90
64.626393,55.51383,10.562877,3.825423,64.30341,79,91
82.146948,69.42882,14.277852,6.643056,81.121834,79,92
85.11165,71.05779,15.450696,7.716464,83.676869,79,93
133.72515,108.45642,26.666451,16.890496,128.885023,79,94
85.14441,71.11515,15.434127,7.701848,83.713055,79,95
134.017299,108.82047,26.629407,16.856742,129.175103,79,96
85.226232,71.22906,15.414768,7.684768,83.799709,79,97
134.574297,109.46115,26.598771,16.829218,129.728734,79,98
85.26804,71.28339,15.407802,7.678671,83.843406,79,99
134.790669,109.7058,26.590041,16.821917,129.943815,79,100
118.027806,96.76212,22.758579,13.496896,114.743031,79,101
125.511633,101.43774,25.296489,15.702617,121.260359,79,102
118.10604,96.86553,22.744197,13.483883,114.821212,79,103
125.624655,101.58516,25.277202,15.684872,121.372987,79,104
118.24917,97.01988,22.744035,13.484016,114.963662,79,105
125.802183,101.77821,25.275789,15.6842,121.549625,79,106
118.283178,97.05447,22.745574,13.485724,114.997776,79,107
125.863218,101.83701,25.281,15.689009,121.609972,79,108
118.32561,98.46222,21.724047,12.676111,115.455947,79,109
114.999261,95.11263,21.549546,12.742772,111.919524,79,110
118.323972,98.46303,21.722085,12.674347,115.45443,79,111
115.003902,95.11938,21.548241,12.741428,111.924001,79,112
118.324674,98.46246,21.723102,12.675425,115.455429,79,113
