chi_full(30),chi_nircam(21),chi_miri(9),chi_miri_wo_shadow(7),chi_full_wo_shadow(28),nircam_offset,run
59.47242,22.001448,37.470969,36.016085,58.01754,58,0
65.84535,23.860389,41.984964,40.553597,64.413972,62,1
72.72138,29.079477,43.6419,42.070686,71.150184,70,2
42.33021,34.683054,7.647147,3.121615,37.804676,74,3
57.47397,44.769669,12.704301,4.884551,49.65422,114,4
35.62608,24.125619,11.500461,4.382063,28.507668,89,5
27.56559,18.793971,8.771616,3.316929,22.1109,84,6
34.69686,22.832376,11.864493,4.894246,27.726608,89,7
30.26529,20.641236,9.624042,3.860717,24.50196,86,8
43.94421,29.778,14.166216,6.610947,36.38894,91,9
40.31013,28.628397,11.681721,5.335764,33.964168,88,10
54.74283,38.553774,16.189047,7.869827,46.423608,93,11
54.56232,39.596844,14.965488,7.254674,46.851504,91,12
53.75934,39.441381,14.317956,6.81737,46.258744,90,13
54.55647,40.442052,14.114421,6.816019,47.258064,90,14
60.26265,46.244268,14.018364,5.399016,51.643284,90,15
51.40308,34.338486,17.064612,7.517482,41.855968,95,16
48.33531,30.637362,17.697951,8.123766,38.761128,96,17
52.10715,26.502252,25.60491,14.182896,40.685148,101,18
56.08647,31.973529,24.112953,13.050905,45.02442,99,19
57.615,31.787133,25.827867,14.532833,46.31998,100,20
59.38146,35.631435,23.75001,12.893776,48.525204,100,21
59.63853,36.249045,23.389488,12.860652,49.109704,99,22
58.20999,35.633178,22.576806,12.072011,47.705196,99,23
58.66032,36.520659,22.139667,12.020918,48.541584,98,24
103.05123,15.306942,87.744294,85.07324,100.380168,19,25
90.60684,19.260528,71.346294,69.167686,88.428228,28,26
71.3784,17.436216,53.942202,52.212881,69.649076,35,27
62.86911,20.345619,42.523497,41.006581,61.3522,49,28
101.32515,15.284073,86.041089,83.37455,98.658644,20,29
89.18349,18.686934,70.496559,68.291048,86.977968,29,30
72.65643,17.456565,55.199871,53.448437,70.904988,37,31
66.33552,21.009219,45.326295,43.818859,64.828092,52,32
88.47171,15.50136,72.970371,70.60319,86.104508,25,33
77.79771,16.818753,60.978951,58.94448,75.76324,33,34
67.53642,18.521706,49.014711,47.313903,65.835616,46,35
68.43978,25.098969,43.340805,41.796685,66.895668,63,36
40.11009,18.104835,22.005261,18.659977,36.764812,38,37
51.11904,35.092995,16.026057,9.097914,44.190888,98,38
41.3691,31.291113,10.078011,3.894989,35.186088,85,39
45.62613,35.84847,9.777654,4.858679,40.707156,74,40
47.66868,33.0561,14.612589,6.684209,39.740288,97,41
153.67269,92.549436,61.123239,53.406493,145.955936,146,42
109.23744,84.875574,24.361848,16.565843,101.441424,143,43
79.47405,64.952034,14.521995,6.694681,71.646708,132,44
39.66639,28.63518,11.031201,4.132919,32.768092,87,45
31.86198,23.601396,8.260587,3.14797,26.749352,80,46
39.07899,27.947388,11.131605,4.180813,32.128208,87,47
31.25136,22.849344,8.401995,3.206028,26.055372,81,48
37.30434,25.968642,11.335671,4.28596,30.254616,88,49
29.27055,20.651295,8.619255,3.271422,23.922724,82,50
35.91666,24.476403,11.44026,4.339069,28.815472,89,51
83.65206,40.035324,43.616736,30.665194,70.700532,121,52
36.59871,25.091598,11.507103,4.626412,29.718024,87,53
31.85151,22.595076,9.256437,3.624075,26.219172,82,54
36.08922,24.523779,11.565441,4.659991,29.183784,88,55
31.38204,22.034397,9.347661,3.680572,25.714948,83,56
35.13684,23.436252,11.700585,4.755611,28.191884,89,57
30.60426,21.106974,9.497277,3.772314,24.879288,85,58
34.68975,22.929585,11.760165,4.796715,27.7263,89,59
172.50507,84.764442,87.740631,75.4726,160.237056,156,60
42.59346,28.76223,13.831209,6.297088,35.059332,90,61
38.36925,27.04107,11.328174,5.023172,32.064256,86,62
42.94686,29.036175,13.910688,6.369139,35.405328,90,63
38.88732,27.457752,11.429577,5.111848,32.5696,86,64
43.57659,29.528226,14.04837,6.497337,36.025556,91,65
39.78042,28.19733,11.58309,5.248068,33.445412,87,66
43.84434,29.747403,14.096934,6.54311,36.29052,91,67
46.87137,24.423252,22.448124,11.94732,36.370572,101,68
54.51342,38.507784,16.005636,7.684754,46.192524,92,69
