chi_full(39),chi_nircam(30),chi_miri(9),chi_miri_wo_shadow(7),chi_full_wo_shadow(37),nircam_offset,run
42.480594,27.16131,15.319269,6.27655,33.437862,97,0
38.861472,27.384,11.477448,4.54489,31.928891,99,1
38.409345,28.54758,9.861777,3.79785,32.345437,111,2
154.431654,38.47752,115.95411,87.54256,126.020076,144,3
183.139788,55.29558,127.84419,96.47449,151.770078,169,4
176.384754,31.71156,144.6732,110.87972,142.591266,149,5
175.227273,30.13206,145.09521,111.32793,141.460028,149,6
192.148047,33.0507,159.09732,123.41371,156.464379,152,7
186.170127,32.74128,153.42885,118.73652,151.477815,150,8
190.874229,36.13191,154.74231,120.23753,156.3694,150,9
180.412908,35.85417,144.55872,111.64167,147.495838,147,10
178.947561,36.94191,142.0056,109.38361,146.325528,147,11
173.212962,36.91701,136.29591,104.63992,141.556931,145,12
170.299506,36.75405,133.54542,102.3232,139.077265,145,13
169.318227,36.84,132.4782,101.46199,138.301967,144,14
172.362177,37.25979,135.10242,102.51346,139.773235,147,15
191.124375,35.86464,155.25972,119.53011,155.394783,153,16
192.608559,34.58109,158.02749,122.13264,156.713722,152,17
204.132552,34.72248,169.41006,131.81868,166.541181,155,18
206.233677,35.57274,170.66088,133.37898,168.951694,154,19
209.146509,35.64546,173.50101,135.86552,171.510984,155,20
205.004748,35.7684,169.23636,132.29944,168.067801,154,21
206.142573,35.76669,170.37585,133.36001,169.126741,154,22
202.809867,35.52903,167.28084,130.67761,166.206627,153,23
204.994491,35.66697,169.32753,132.49894,168.165851,153,24
38.084397,23.77734,14.307066,9.317238,33.094576,47,25
41.851485,25.18959,16.661889,5.993834,31.183452,86,26
42.699228,25.26876,17.430471,7.030464,32.299224,90,27
42.922308,26.65578,16.266519,6.802411,33.458212,94,28
38.511096,25.3275,13.183605,8.788976,34.116479,51,29
38.049297,24.2271,13.822209,5.025384,29.252459,85,30
38.440389,24.71574,13.724631,5.554542,30.270292,90,31
39.238017,26.77983,12.458169,5.120787,31.900623,96,32
32.874894,23.24562,9.629253,5.444425,28.690059,57,33
31.925673,22.69599,9.229671,3.045637,25.74164,81,34
36.405252,24.46683,11.93841,4.807901,29.274733,100,35
40.249365,28.92075,11.328615,4.53565,33.456399,108,36
113.046921,37.92318,75.123756,50.8018,88.724964,117,37
208.165464,42.43005,165.73545,132.74436,175.174391,163,38
167.6493,38.00979,129.63951,99.0283,137.038084,152,39
141.845145,36.22323,105.62193,79.02636,115.249598,135,40
159.972657,35.50545,124.46721,92.87411,128.379566,147,41
277.090398,77.0046,200.08575,168.73157,245.736203,180,42
222.96651,69.83919,153.12735,121.71642,191.555623,178,43
192.526503,58.39581,134.13069,102.6991,161.094966,171,44
177.505536,32.83872,144.66681,110.83667,143.67544,149,45
175.692153,31.0338,144.65835,110.89708,141.93089,149,46
176.838012,32.48964,144.34839,110.53882,143.028495,149,47
174.307653,30.7455,143.56215,109.81628,140.561779,149,48
176.500896,32.02476,144.4761,110.68925,142.713995,149,49
173.922489,30.39669,143.52579,109.78394,140.180642,149,50
176.298603,31.809,144.4896,110.71137,142.520411,149,51
208.152672,42.43482,165.71781,132.73113,175.165955,163,52
191.12535,32.84406,158.28129,122.5679,155.411988,151,53
184.653339,32.31417,152.33913,117.63703,149.951195,149,54
189.7116,32.81385,156.89772,121.20227,154.016126,152,55
182.976339,32.34939,150.62697,115.93869,148.288119,150,56
189.515079,32.87913,156.63591,120.95664,153.835751,152,57
182.732043,32.48922,150.24285,115.56538,148.054575,150,58
189.615699,33.01914,156.59658,120.92437,153.943495,152,59
