# T(K)	P(bar)
2981.6      	1e-08       
2944.899770413282	1.1885022274370215e-08
2907.2910958540333	1.4125375446227554e-08
2869.122701916592	1.6788040181225588e-08
2832.037277021527	1.9952623149688826e-08
2801.821139925702	2.3713737056616554e-08
2781.1497604517003	2.818382931264461e-08
2765.7957699916965	3.3496543915782795e-08
2754.526590884641	3.981071705534969e-08
2745.7448850085216	4.731512589614813e-08
2738.220942690445	5.6234132519034905e-08
2730.7793111597834	6.683439175686162e-08
2723.1140536896864	7.94328234724282e-08
2715.2225261016415	9.440608762859226e-08
2707.186157484509	1.1220184543019653e-07
2699.671216512878	1.333521432163324e-07
2692.300011703418	1.584893192461114e-07
2685.1472946260346	1.883649089489802e-07
2678.3027576136037	2.2387211385683422e-07
2671.841071863194	2.6607250597988136e-07
2665.9558444181434	3.162277660168379e-07
2660.022386919608	3.7583740428844433e-07
2654.0416394393305	4.466835921509635e-07
2648.022978140508	5.308844442309889e-07
2642.0343636374055	6.309573444801942e-07
2636.1560303986935	7.498942093324558e-07
2630.152756609295	8.912509381337459e-07
2623.965184484007	1.0592537251772896e-06
2617.50863221755	1.2589254117941687e-06
2610.8391286195683	1.4962356560944327e-06
2603.67782512009	1.7782794100389227e-06
2595.810393610426	2.1134890398366474e-06
2587.1422713698084	2.511886431509582e-06
2577.6723476216407	2.9853826189179636e-06
2567.836629670439	3.5481338923357534e-06
2557.3708742125646	4.216965034285822e-06
2546.2872153989856	5.011872336272725e-06
2534.5804727569034	5.95662143529011e-06
2522.377451802994	7.079457843841388e-06
2509.4476040011114	8.413951416451948e-06
2494.9911737943585	1e-05       
2478.1933898453954	1.188502227437019e-05
2457.894563078006	1.4125375446227555e-05
2431.8145037967934	1.678804018122562e-05
2399.648149835733	1.9952623149688786e-05
2360.5120691770244	2.371373705661655e-05
2313.213820292403	2.818382931264455e-05
2256.4180777345996	3.349654391578279e-05
2192.1983167785156	3.981071705534977e-05
2122.7938180256806	4.731512589614803e-05
2055.8602390385845	5.623413251903491e-05
1999.1090887045475	6.683439175686148e-05
1962.0783001600562	7.943282347242821e-05
1940.8149879580365	9.440608762859246e-05
1926.2781065448241	0.00011220184543019629
1916.8146427644108	0.0001333521432163324
1910.843229553041	0.00015848931924611142
1907.6984306369495	0.00018836490894898024
1907.0048280305064	0.00022387211385683424
1907.7267417179962	0.0002660725059798809
1909.3043744582703	0.0003162277660168379
1911.073110387687	0.00037583740428844437
1912.7783796797826	0.0004466835921509635
1914.8407420373178	0.0005308844442309889
1916.784830087568	0.000630957344480193
1918.3052864090591	0.0007498942093324559
1919.2663519873115	0.0008912509381337458
1920.041827685065	0.0010592537251772895
1920.5608127952448	0.0012589254117941673
1920.675016875183	0.0014962356560944345
1920.2861334668894	0.0017782794100389225
1919.4955447173666	0.0021134890398366475
1918.7911194927058	0.002511886431509582
1918.3619257447863	0.0029853826189179603
1918.4030574559374	0.0035481338923357567
1919.100625183233	0.004216965034285822
1920.5047793967526	0.0050118723362727255
1922.6369010282442	0.005956621435290103
1925.5534857856524	0.00707945784384138
1929.3085947555999	0.008413951416451957
1933.9      	0.01        
1938.9010795034312	0.01188502227437019
1944.8348173576612	0.014125375446227554
1951.8296309984562	0.016788040181225587
1959.9216446673393	0.01995262314968883
1968.8274534955824	0.023713737056616554
1978.870940157103	0.02818382931264455
1990.2619586243943	0.033496543915782793
2002.7962694878343	0.03981071705534969
2016.2079748278604	0.04731512589614813
2030.2369922751077	0.056234132519034905
2045.3239207329468	0.06683439175686148
2061.21015090833	0.07943282347242821
2077.476722535701	0.09440608762859228
2093.6261241367083	0.11220184543019629
2108.601152496235	0.1333521432163324
2122.3446596230556	0.1584893192461114
2134.3834150501543	0.18836490894898023
2144.305441781744	0.22387211385683378
2151.804188208145	0.26607250597988086
2156.504015517494	0.3162277660168379
2159.7326791917444	0.3758374042884443
2161.781783586276	0.4466835921509634
2162.9613438310125	0.5308844442309879
2163.4341291865207	0.630957344480193
2163.6327360421396	0.7498942093324559
2163.7      	0.8912509381337458
2163.67581480605	1.0592537251772898
2163.5954492118317	1.2589254117941662
2163.5178968444134	1.4962356560944328
2163.380379257874	1.7782794100389228
2163.222837615291	2.1134890398366473
2163.0268566566037	2.511886431509582
2162.7058422922587	2.9853826189179573
2162.3225245965014	3.548133892335753
2161.82551912035	4.216965034285823
2161.1749803723437	5.011872336272725
2160.3379619859725	5.956621435290109
2159.307836840512	7.079457843841373
2157.8899673137344	8.413951416451948
2156.4      	10.0        
